Group;Task completion time (s);Error count;How mentally demanding?;How physically demanding?;How hurried or rushed?;How successful?;How hard to work?;How insecure/stressed?;Like to use frequently (1-5);Unnecessarily complex (1-5);Easy to use (1-5);Need tech support (1-5);Well integrated (1-5);Too much inconsistency (1-5);Learn quickly (1-5);Very cumbersome (1-5);Felt confident (1-5);Need to learn a lot (1-5)
YumEye;24;1;3;1;2;9;2;1;5;1;5;1;5;1;5;1;5;1
YumEye;32;0;4;1;2;8;3;2;4;1;4;1;4;1;5;1;4;1
YumEye;19;2;2;1;3;9;2;2;4;2;5;1;5;1;5;1;5;1
YumEye;35;1;5;1;2;8;4;1;5;1;4;1;4;2;4;1;4;2
YumEye;22;0;2;1;1;10;1;1;5;1;5;1;5;1;5;1;5;1
YumEye;41;3;6;1;4;7;5;3;3;2;3;2;3;2;4;2;3;2
YumEye;26;1;3;1;2;9;2;1;5;1;5;1;5;1;5;1;5;1
YumEye;18;0;2;1;1;10;2;1;5;1;5;1;4;1;5;1;5;1
YumEye;30;1;4;2;2;9;3;1;4;1;5;1;5;1;5;1;4;1
Traditional;38;0;4;2;3;9;3;2;3;2;4;2;4;1;4;2;4;2
Traditional;52;0;5;3;2;8;4;2;3;2;4;1;3;1;4;2;4;1
Traditional;45;1;4;2;3;9;4;3;4;2;4;1;4;1;5;3;3;2
Traditional;28;0;3;2;2;10;3;1;4;1;5;1;4;1;5;2;4;1
Traditional;65;0;6;4;4;7;5;4;2;3;3;1;3;2;3;3;3;2
Traditional;35;1;4;2;3;9;3;2;3;2;4;1;4;1;5;2;4;1
Traditional;55;0;5;3;2;8;4;2;3;3;3;1;3;1;4;3;3;2
Traditional;42;0;4;2;3;9;3;1;4;2;4;1;4;1;5;2;4;1
Traditional;49;0;5;3;2;8;4;2;2;2;4;1;3;1;4;3;3;2